දුතියපඤ්ඤප්ති	1
සන්ථතභාණවාරො	1
සික්ඛාසාජීවසමාපන්නො	1
සික්ඛං	14
අපච්චක්ඛාය	2
දුබ්බල්යං	2
අනාවීකත්වා	1
තතියපඤ්ඤත්තී	1
පනාති	16
යාදිසො	10
යථායුත්තො	1
යථාජච්චො	1
යථානාමො	1
යථාගොත්තො	1
යථාසීලො	1
යථාවිහාරී	1
යථාගොචරො	1
ථෙරො	28
නවො	6
මජ්ඣිමො	2
එසො	99
වුච්චති	459
සික්ඛාතිතිස්සො	1
සික්ඛා	107
අධිසීලසික්ඛා	6
අධිචිත්තසික්ඛා	5
අධිපඤ්ඤාසික්ඛා	5
තත්ර	218
යායං	19
ඉමස්මිං	94
අත්ථෙ	32
අධිප්පෙතා	4
සික්ඛාති	3
සාජීවං	2
එතං	188
තස්මිං	605
සික්ඛති	21
තෙන	916
සාජීවසමාපන්නොති	1
අනාවීකත්වාති	1
අත්ථි	233
භික්ඛවෙ	5565
දුබ්බල්යාවීකම්මඤ්චෙව	4
අපච්චක්ඛාතා	4
පච්චක්ඛාතා	5
අථවා	7
අපාහං	3
බුද්ධං	28
පච්චක්ඛෙය්යන්ති	3
වදති	12
විඤ්ඤාපෙති	36
අසක්යපුත්තියො	6
අස්සන්ති	4
එවම්පි	37
දුබ්බල්යාවීකම්මං	2
චෙව	289
හන්දාහං	2
මෙ	727
කින්නු	59
බුද්ධෙනාති	3
සබ්රහ්මචාරීහීති	3
මමත්ථො	2
සුමුත්තාහං	2
මෙථුනධම්මො	2
සො	1008
අසද්ධම්මො	3
ගාමධම්මො	1
වසලධම්මො	1
දුට්ඨුල්ලං	14
ඔදකන්තිකං	1
රහස්සං	1
ද්වයංද්වයසමාපත්ති	1
පතිසෙවති	2
නිමිත්තෙන	1
නිමිත්තං	9
අඞ්ගජාතෙන	3
අඞ්ගජාතං	24
තිලඵලමත්තම්පි	1
පවෙසෙති	6
තිරච්ඡානගතායපීති	2
තිරච්ඡානගතිත්ථියාපි	1
පතිසෙවිත්වා	2
අස්සමණො	3
පගෙව	6
මනුස්සිත්ථියා	1
හොතීති	142
පුරිසො	113
සීසච්ඡින්නො	2
අභබ්බො	66
සරීරබන්ධනෙන	1
ජීවිතුං	1
එවමෙව	173
සංවාසො	9
එකං	250
කම්මං	219
එකුද්දෙසො	5
සමසික්ඛතා	7
සද්ධිං	169
නත්ථි	188
භික්ඛුපච්චත්ථිකා	3
මනුස්සිත්ථිං	1
ජාගරන්තිං	1
සුත්තං	1084
මත්තං	11
උම්මත්තං	2
පමත්තං	2
මතං	6
අක්ඛයිතං	5
යෙභුය්යෙන	12
සාදියති	20
ආපත්ති	1568
පාරාජිකස්ස	52
අනාපත්ති	440
තිරච්ඡානගතූභතොබ්යඤ්ජනකං	1
ජාගරන්තං	1
රාජපච්චත්ථිකා	1
චොරපච්චත්ථිකා	1
ධුත්තපච්චත්ථිකා	1
උප්පලගන්ධපච්චත්ථිකා	1
පච්චත්ථිකෙසු	1
විය	24
විත්ථාරෙතබ්බං	21
සන්ථතං	24
වණ්ණිත	1
මෙව	8
මග්ගෙන	9
මග්ගං	61
අමග්ගං	2
අමග්ගෙන	2
ථුල්ලච්චයස්ස	46
සුත්තභික්ඛුම්හි	1
විප්පටිපජ්ජති	4
පටිබුද්ධො	12
උභො	88
නාසෙතබ්බා	8
දූසකො	6
නාසෙතබ්බො	4
සුත්තසාමණෙරම්හි	2
සාමණෙරො	20
